"","baby","banana","book","brother","cheese","cookie","cracker","daddy","dog","grandma","grandpa","mommy"
"baby",4668,28,573,105,39,122,22,321,0,25,9,997
"banana",0,419,0,0,17,0,0,0,0,0,0,0
"book",0,10,2861,0,3,41,0,0,0,10,3,0
"brother",0,0,10,90,4,2,0,0,0,3,1,0
"cheese",0,0,0,0,611,0,0,0,0,0,0,0
"cookie",0,85,0,0,7,923,0,0,0,9,0,0
"cracker",0,4,3,0,40,73,158,0,0,0,0,0
"daddy",0,12,184,24,43,46,0,1608,0,23,12,0
"dog",271,11,178,12,12,18,2,87,2160,4,0,159
"grandma",0,0,0,0,5,0,0,0,0,116,101,0
"grandpa",0,0,0,0,1,0,0,0,0,0,31,0
"mommy",0,60,760,33,113,216,25,943,0,26,10,2882
